date,value,month
2015-04-14,1095346.9553305204,2015-04
2015-04-15,1095656.9553305204,2015-04
2015-04-16,1096116.9553305204,2015-04
2015-04-17,1096976.9553305202,2015-04
2015-04-20,1098146.9553305204,2015-04
2015-04-21,1098315.3411375203,2015-04
2015-04-22,1103351.4726908004,2015-04
2015-04-23,1119506.4726908007,2015-04
2015-04-24,1129886.4726908007,2015-04
2015-04-27,1129203.3090708004,2015-04
2015-04-28,1128592.7097501606,2015-04
2015-04-29,1128685.4097501603,2015-04
2015-04-30,1128778.1097501605,2015-04
2015-05-04,1128479.4097501603,2015-05
2015-05-05,1128500.0097501604,2015-05
2015-05-06,1127886.7195308807,2015-05
2015-05-07,1127743.0435308807,2015-05
2015-05-08,1128020.8199558407,2015-05
2015-05-11,1128340.119955841,2015-05
2015-05-12,1127690.0494198408,2015-05
2015-05-13,1125753.495863041,2015-05
2015-05-14,1139148.495863041,2015-05
2015-05-15,1128089.695863041,2015-05
2015-05-18,1113582.6958630409,2015-05
2015-05-19,1112269.3530400407,2015-05
2015-05-20,1110838.686832041,2015-05
2015-05-21,1111373.986832041,2015-05
2015-05-22,1112020.3868320412,2015-05
2015-05-25,1111979.9868320408,2015-05
2015-05-26,1111959.7868320409,2015-05
2015-05-27,1111969.886832041,2015-05
2015-05-28,1112010.286832041,2015-05
2015-05-29,1111969.886832041,2015-05
2015-06-01,1111979.986832041,2015-06
2015-06-02,1111899.186832041,2015-06
2015-06-03,1112444.586832041,2015-06
2015-06-04,1113484.886832041,2015-06
2015-06-05,1113818.186832041,2015-06
2015-06-08,1113585.886832041,2015-06
2015-06-09,1113535.386832041,2015-06
2015-06-10,1113393.986832041,2015-06
2015-06-11,1113404.086832041,2015-06
2015-06-12,1113272.786832041,2015-06
2015-06-15,1113434.3868320412,2015-06
2015-06-16,1113626.286832041,2015-06
2015-06-17,1113939.386832041,2015-06
2015-06-18,1113969.686832041,2015-06
2015-06-19,1114353.486832041,2015-06
2015-06-23,1114515.086832041,2015-06
2015-06-24,1115020.0868320412,2015-06
2015-06-25,1115009.986832041,2015-06
2015-06-26,1115050.386832041,2015-06
2015-06-29,1114969.5868320412,2015-06
2015-06-30,1114898.886832041,2015-06
2015-07-01,1115121.0868320412,2015-07
2015-07-02,1115181.686832041,2015-07
2015-07-03,1115363.486832041,2015-07
2015-07-06,1116060.386832041,2015-07
2015-07-07,1116888.5868320412,2015-07
2015-07-08,1116161.386832041,2015-07
2015-07-09,1116282.5868320412,2015-07
2015-07-10,1116444.186832041,2015-07
2015-07-13,1116535.086832041,2015-07
2015-07-14,1116636.086832041,2015-07
2015-07-15,1116777.486832041,2015-07
2015-07-16,1116939.0868320412,2015-07
2015-07-17,1117302.686832041,2015-07
2015-07-20,1117302.686832041,2015-07
2015-07-21,1117343.0868320412,2015-07
2015-07-22,1117343.086832041,2015-07
2015-07-23,1117413.786832041,2015-07
2015-07-24,1117565.286832041,2015-07
2015-07-27,1117747.086832041,2015-07
2015-07-28,1117827.8868320412,2015-07
2015-07-29,1117858.186832041,2015-07
2015-07-30,1118161.1868320412,2015-07
2015-07-31,1118272.286832041,2015-07
2015-08-03,1118575.2868320409,2015-08
2015-08-04,1118524.786832041,2015-08
2015-08-05,1118524.786832041,2015-08
2015-08-06,1118393.486832041,2015-08
2015-08-07,1118544.986832041,2015-08
2015-08-10,1118585.386832041,2015-08
2015-08-11,1118585.386832041,2015-08
2015-08-12,1118686.386832041,2015-08
2015-08-13,1118757.0868320412,2015-08
2015-08-14,1118948.986832041,2015-08
2015-08-17,1119060.086832041,2015-08
2015-08-18,1119110.586832041,2015-08
2015-08-19,1119181.2868320409,2015-08
2015-08-20,1119231.7868320409,2015-08
2015-08-21,1119393.386832041,2015-08
2015-08-24,1119443.8868320412,2015-08
2015-08-25,1119433.786832041,2015-08
2015-08-26,1119514.586832041,2015-08
2015-08-27,1119615.5868320412,2015-08
2015-08-28,1119847.886832041,2015-08
2015-08-31,1119888.286832041,2015-08
2015-09-01,1120282.186832041,2015-09
2015-09-02,1120696.286832041,2015-09
2015-09-07,1120686.186832041,2015-09
2015-09-08,1120595.2868320409,2015-09
2015-09-09,1120524.5868320412,2015-09
2015-09-10,1120645.7868320409,2015-09
2015-09-11,1120857.886832041,2015-09
2015-09-14,1120918.486832041,2015-09
2015-09-15,1121009.3868320412,2015-09
2015-09-16,1121130.586832041,2015-09
2015-09-17,1121110.386832041,2015-09
2015-09-18,1121292.186832041,2015-09
2015-09-21,1121322.486832041,2015-09
2015-09-22,1121423.486832041,2015-09
2015-09-23,1121473.986832041,2015-09
2015-09-24,1121504.286832041,2015-09
2015-09-25,1121655.786832041,2015-09
2015-09-28,1121837.586832041,2015-09
2015-09-29,1121908.286832041,2015-09
2015-09-30,1122352.686832041,2015-09
2015-10-08,1122221.386832041,2015-10
2015-10-09,1122483.986832041,2015-10
2015-10-12,1122473.886832041,2015-10
2015-10-13,1122726.386832041,2015-10
2015-10-14,1122958.686832041,2015-10
2015-10-15,1123019.286832041,2015-10
2015-10-16,1123170.786832041,2015-10
2015-10-19,1123281.886832041,2015-10
2015-10-20,1123342.4868320408,2015-10
2015-10-21,1123423.286832041,2015-10
2015-10-22,1123362.686832041,2015-10
2015-10-23,1123534.386832041,2015-10
2015-10-26,1123685.886832041,2015-10
2015-10-27,1123786.886832041,2015-10
2015-10-28,1123867.686832041,2015-10
2015-10-29,1123948.486832041,2015-10
2015-10-30,1124291.8868320412,2015-10
2015-11-02,1124372.686832041,2015-11
2015-11-03,1124423.186832041,2015-11
2015-11-04,1124463.586832041,2015-11
2015-11-05,1123663.240161861,2015-11
2015-11-06,1147189.208511681,2015-11
2015-11-09,1155255.7085116813,2015-11
2015-11-10,1161373.1085116812,2015-11
2015-11-11,1177771.008511681,2015-11
2015-11-12,1176382.988716901,2015-11
2015-11-13,1175159.8298291012,2015-11
2015-11-16,1175234.0298291012,2015-11
2015-11-17,1175329.4298291013,2015-11
2015-11-18,1175435.429829101,2015-11
2015-11-19,1175509.6298291013,2015-11
2015-11-20,1175647.429829101,2015-11
2015-11-23,1175044.9582439014,2015-11
2015-11-24,1184219.7107155612,2015-11
2015-11-25,1202868.4107155614,2015-11
2015-11-26,1186740.0107155612,2015-11
2015-11-27,1146835.8107155613,2015-11
2015-11-30,1146132.2993261213,2015-11
2015-12-01,1145829.0347171214,2015-12
2015-12-02,1145921.7347171216,2015-12
2015-12-03,1146065.9347171213,2015-12
2015-12-04,1146261.6347171213,2015-12
2015-12-07,1146436.7347171213,2015-12
2015-12-08,1146539.7347171213,2015-12
2015-12-09,1146447.0347171214,2015-12
2015-12-10,1146550.0347171214,2015-12
2015-12-11,1146725.1347171215,2015-12
2015-12-14,1146838.4347171213,2015-12
2015-12-15,1146920.8347171212,2015-12
2015-12-16,1147085.6347171213,2015-12
2015-12-17,1147157.7347171213,2015-12
2015-12-18,1147343.1347171215,2015-12
2015-12-21,1147353.4347171215,2015-12
2015-12-22,1147301.9347171213,2015-12
2015-12-23,1146516.7302556015,2015-12
2015-12-24,1146536.3502556016,2015-12
2015-12-25,1146102.3305415213,2015-12
2015-12-28,1146256.8305415213,2015-12
2015-12-29,1146411.3305415215,2015-12
2015-12-30,1146431.9305415214,2015-12
2015-12-31,1146782.1305415214,2015-12
2016-01-04,1146473.1305415214,2016-01
2016-01-05,1146967.5305415213,2016-01
2016-01-06,1147060.2305415212,2016-01
2016-01-07,1147142.6305415214,2016-01
2016-01-08,1147410.4305415214,2016-01
2016-01-11,1147554.6305415214,2016-01
2016-01-12,1147626.7305415215,2016-01
2016-01-13,1147626.7305415215,2016-01
2016-01-14,1147637.0305415215,2016-01
2016-01-15,1147801.8305415215,2016-01
2016-01-18,1147915.1305415214,2016-01
2016-01-19,1147894.5305415213,2016-01
2016-01-20,1147956.3305415213,2016-01
2016-01-21,1147894.5305415215,2016-01
2016-01-22,1148244.7305415215,2016-01
2016-01-25,1148378.6305415214,2016-01
2016-01-26,1148584.6305415214,2016-01
2016-01-27,1148687.6305415214,2016-01
2016-01-28,1148790.6305415214,2016-01
2016-01-29,1149089.3305415215,2016-01
2016-02-01,1149274.7305415215,2016-02
2016-02-02,1149295.3305415213,2016-02
2016-02-03,1148627.4512440013,2016-02
2016-02-04,1153335.6395878613,2016-02
2016-02-05,1160728.8395878614,2016-02
2016-02-15,1183716.9395878613,2016-02
2016-02-16,1175326.1395878615,2016-02
2016-02-17,1180356.5395878614,2016-02
2016-02-18,1181390.2395878613,2016-02
2016-02-19,1190346.3395878612,2016-02
2016-02-22,1185860.8395878612,2016-02
2016-02-23,1186400.6395878615,2016-02
2016-02-24,1191186.6395878615,2016-02
2016-02-25,1199943.8395878612,2016-02
2016-02-26,1198528.5337049013,2016-02
2016-02-29,1191485.8982982617,2016-02
2016-03-01,1200522.5982982619,2016-03
2016-03-02,1193432.398298262,2016-03
2016-03-03,1198558.698298262,2016-03
2016-03-04,1206480.1982982617,2016-03
2016-03-07,1206042.5982982619,2016-03
2016-03-08,1209130.7982982618,2016-03
2016-03-09,1202765.8982982617,2016-03
2016-03-10,1199190.8982982617,2016-03
2016-03-11,1206739.8982982617,2016-03
2016-03-14,1200519.5982982619,2016-03
2016-03-15,1188638.4982982618,2016-03
2016-03-16,1193018.2982982618,2016-03
2016-03-17,1198924.398298262,2016-03
2016-03-18,1198934.9982982618,2016-03
2016-03-21,1189571.9982982618,2016-03
2016-03-22,1194505.9982982618,2016-03
2016-03-23,1188439.3982982622,2016-03
2016-03-24,1187038.064606182,2016-03
2016-03-25,1185813.4833149824,2016-03
2016-03-28,1185834.683314982,2016-03
2016-03-29,1185824.0833149822,2016-03
2016-03-30,1185739.2833149822,2016-03
2016-03-31,1185972.4833149821,2016-03
2016-04-01,1186343.4833149821,2016-04
2016-04-05,1186481.2833149822,2016-04
2016-04-06,1186566.083314982,2016-04
2016-04-07,1186650.8833149823,2016-04
2016-04-08,1186958.2833149822,2016-04
2016-04-11,1186926.4833149821,2016-04
2016-04-12,1186990.0833149822,2016-04
2016-04-13,1187074.883314982,2016-04
2016-04-14,1186947.683314982,2016-04
2016-04-15,1186375.8510467422,2016-04
2016-04-18,1176302.4256289424,2016-04
2016-04-19,1176646.8256289423,2016-04
2016-04-20,1141266.5256289423,2016-04
2016-04-21,1140666.7281301422,2016-04
2016-04-22,1140203.8108555023,2016-04
2016-04-25,1140265.0108555022,2016-04
2016-04-26,1140275.2108555024,2016-04
2016-04-27,1140469.0108555022,2016-04
2016-04-28,1140693.4108555024,2016-04
2016-04-29,1140856.6108555023,2016-04
2016-05-03,1140764.8108555025,2016-05
2016-05-04,1140815.8108555023,2016-05
2016-05-05,1140928.0108555022,2016-05
2016-05-06,1141132.0108555022,2016-05
2016-05-09,1141264.6108555023,2016-05
2016-05-10,1141499.2108555022,2016-05
2016-05-11,1141407.4108555024,2016-05
2016-05-12,1141427.8108555023,2016-05
2016-05-13,1141591.0108555022,2016-05
2016-05-16,1141682.8108555023,2016-05
2016-05-17,1141754.2108555024,2016-05
2016-05-18,1141100.4702512822,2016-05
2016-05-19,1131726.6359879225,2016-05
2016-05-20,1131295.9359879224,2016-05
2016-05-23,1130774.8359879223,2016-05
2016-05-24,1130163.2745335223,2016-05
2016-05-25,1129542.3466475222,2016-05
2016-05-26,1129572.6466475222,2016-05
2016-05-27,1129673.6466475222,2016-05
2016-05-30,1129825.1466475222,2016-05
2016-05-31,1129825.1466475222,2016-05
2016-06-01,1129845.3466475222,2016-06
2016-06-02,1129936.2466475223,2016-06
2016-06-03,1130087.7466475223,2016-06
2016-06-06,1130208.9466475223,2016-06
2016-06-07,1130340.2466475223,2016-06
2016-06-08,1130764.4466475223,2016-06
2016-06-13,1130764.4466475223,2016-06
2016-06-14,1130804.8466475222,2016-06
2016-06-15,1130814.946647522,2016-06
2016-06-16,1130865.4466475223,2016-06
2016-06-17,1131117.946647522,2016-06
2016-06-20,1131198.7466475223,2016-06
2016-06-21,1131239.1466475222,2016-06
2016-06-22,1131269.446647522,2016-06
2016-06-23,1131330.0466475221,2016-06
2016-06-24,1131481.5466475224,2016-06
2016-06-27,1131269.446647522,2016-06
2016-06-28,1131441.1466475222,2016-06
2016-06-29,1131431.0466475224,2016-06
2016-06-30,1131885.5466475221,2016-06
2016-07-01,1132208.746647522,2016-07
2016-07-04,1132228.9466475223,2016-07
2016-07-05,1132239.0466475221,2016-07
2016-07-06,1132400.6466475222,2016-07
2016-07-07,1132521.8466475222,2016-07
2016-07-08,1131950.3827572423,2016-07
2016-07-11,1136350.4248164424,2016-07
2016-07-12,1131913.4248164424,2016-07
2016-07-13,1127975.7885218223,2016-07
2016-07-14,1125337.0352621423,2016-07
2016-07-15,1121307.3352621424,2016-07
2016-07-18,1117316.0352621423,2016-07
2016-07-19,1122290.0352621423,2016-07
2016-07-20,1119381.7352621423,2016-07
2016-07-21,1116117.6352621424,2016-07
2016-07-22,1115745.8352621424,2016-07
2016-07-25,1112612.1352621424,2016-07
2016-07-26,1111434.1820272226,2016-07
2016-07-27,1079425.8730286225,2016-07
2016-07-28,1078864.9012547426,2016-07
2016-07-29,1078423.1642095027,2016-07
2016-08-01,1078480.7642095026,2016-08
2016-08-02,1078547.9642095026,2016-08
2016-08-03,1078605.5642095027,2016-08
2016-08-04,1077968.3505468026,2016-08
2016-08-05,1084353.5463974026,2016-08
2016-08-08,1072965.3463974027,2016-08
2016-08-09,1071704.4985137624,2016-08
2016-08-10,1070502.6444366425,2016-08
2016-08-11,1070588.1444366423,2016-08
2016-08-12,1070673.6444366423,2016-08
2016-08-15,1070683.1444366425,2016-08
2016-08-16,1070740.1444366425,2016-08
2016-08-17,1070863.6444366425,2016-08
2016-08-18,1070844.6444366423,2016-08
2016-08-19,1071139.1444366425,2016-08
2016-08-22,1071234.1444366425,2016-08
2016-08-23,1071272.1444366423,2016-08
2016-08-24,1071272.1444366423,2016-08
2016-08-25,1071376.6444366425,2016-08
2016-08-26,1071604.6444366425,2016-08
2016-08-29,1071728.1444366425,2016-08
2016-08-30,1071813.6444366425,2016-08
2016-08-31,1071870.6444366425,2016-08
2016-09-01,1071965.6444366425,2016-09
2016-09-02,1072098.6444366425,2016-09
2016-09-05,1072155.6444366425,2016-09
2016-09-06,1072260.1444366425,2016-09
2016-09-07,1072345.6444366425,2016-09
2016-09-08,1072393.1444366425,2016-09
2016-09-09,1072507.1444366425,2016-09
2016-09-12,1072649.6444366425,2016-09
2016-09-13,1072887.1444366425,2016-09
2016-09-14,1073181.6444366425,2016-09
2016-09-19,1073115.1444366425,2016-09
2016-09-20,1073077.1444366425,2016-09
2016-09-21,1073124.6444366425,2016-09
2016-09-22,1073029.6444366425,2016-09
2016-09-23,1073210.1444366425,2016-09
2016-09-26,1073295.6444366425,2016-09
2016-09-27,1073324.1444366425,2016-09
2016-09-28,1073523.6444366425,2016-09
2016-09-29,1073618.6444366425,2016-09
2016-09-30,1074255.1444366425,2016-09
2016-10-10,1074331.1444366425,2016-10
2016-10-11,1074359.6444366425,2016-10
2016-10-12,1074578.1444366423,2016-10
2016-10-13,1074673.1444366425,2016-10
2016-10-14,1074920.1444366423,2016-10
2016-10-17,1074901.1444366425,2016-10
2016-10-18,1074796.6444366425,2016-10
2016-10-19,1074929.6444366425,2016-10
2016-10-20,1074872.6444366425,2016-10
2016-10-21,1075081.6444366425,2016-10
2016-10-24,1075072.1444366425,2016-10
2016-10-25,1075129.1444366425,2016-10
2016-10-26,1075205.1444366423,2016-10
2016-10-27,1075214.6444366425,2016-10
2016-10-28,1075471.1444366425,2016-10
2016-10-31,1075661.1444366425,2016-10
2016-11-01,1075775.1444366425,2016-11
2016-11-02,1076022.1444366425,2016-11
2016-11-03,1076050.6444366423,2016-11
2016-11-04,1076250.1444366423,2016-11
2016-11-07,1076307.1444366423,2016-11
2016-11-08,1076364.1444366425,2016-11
2016-11-09,1076373.6444366425,2016-11
2016-11-10,1076402.1444366425,2016-11
2016-11-11,1076402.1444366425,2016-11
2016-11-14,1076506.6444366425,2016-11
2016-11-15,1076687.1444366425,2016-11
2016-11-16,1076725.1444366425,2016-11
2016-11-17,1076801.1444366425,2016-11
2016-11-18,1077019.6444366425,2016-11
2016-11-21,1077067.1444366423,2016-11
2016-11-22,1077143.1444366425,2016-11
2016-11-23,1077209.6444366425,2016-11
2016-11-24,1077247.6444366425,2016-11
2016-11-25,1077399.6444366425,2016-11
2016-11-28,1077513.6444366425,2016-11
2016-11-29,1077504.1444366425,2016-11
2016-11-30,1077475.6444366425,2016-11
2016-12-01,1077561.1444366425,2016-12
2016-12-02,1077941.1444366425,2016-12
2016-12-05,1078131.1444366425,2016-12
2016-12-06,1078150.1444366425,2016-12
2016-12-07,1078159.6444366425,2016-12
2016-12-08,1078292.6444366425,2016-12
