datetime,symbol,direction,pnl,pnl_no_commission,price,size,commission,is_long
2015-01-30 15:00:00,511880.SH,sell,174.2644818000499,273.4470000000499,107.80708499999999,4600,99.18251819999999,False
2015-02-17 15:00:00,159915.SZ,sell,3466.18715000169,3472.4394914016902,1.82817,17100,6.252341400000001,False
2015-03-13 15:00:00,159915.SZ,sell,32038.325054717738,32078.05528471774,1.9380600000000001,102500,39.730230000000006,False
2015-03-13 15:00:00,511880.SH,sell,732.788553325746,767.4329142857459,108.263628,1600,34.64436096,False
2015-03-19 15:00:00,159915.SZ,sell,4477.077550778715,4482.077550778715,2.096901,9500,5.0,False
2015-03-25 15:00:00,159915.SZ,sell,5611.925641239455,5616.925641239455,2.270727,8700,5.0,False
2015-03-26 15:00:00,159915.SZ,sell,112489.81466690249,112567.71173186248,2.285712,170400,77.89706496000002,False
2015-03-26 15:00:00,513500.SH,sell,132.63435876009498,199.98570000009497,1.156842,291100,67.35134124,False
2015-03-26 15:00:00,511880.SH,sell,1971.3208328866003,2038.5700163866004,108.466425,3100,67.2491835,False
2015-03-31 15:00:00,513500.SH,sell,-1647.3048899599999,-1531.3709,1.140858,508100,115.93398995999999,False
2015-05-05 15:00:00,511880.SH,sell,676.9905021238727,792.3524846638727,108.83205899999999,5300,115.36198254,False
2015-05-07 15:00:00,510410.SH,sell,-22038.366064399936,-21926.542399999937,0.97902,571100,111.82366440000001,False
2015-05-12 15:00:00,511880.SH,sell,463.8605563319417,577.2110923319417,108.9909,5200,113.35053599999999,False
2015-05-21 15:00:00,510410.SH,sell,-2374.1329523999234,-2260.5989999999233,1.010988,561500,113.5339524,False
2015-11-17 15:00:00,511880.SH,sell,6975.027668806065,7089.875346166064,110.430459,5200,114.84767736,False
2015-11-23 15:00:00,511880.SH,sell,3074.635069225577,3189.523266025577,110.46941999999999,5200,114.88819679999999,False
2015-11-25 15:00:00,159915.SZ,sell,8268.855025920038,8385.484200000039,2.6603369999999997,219200,116.62917407999998,False
2015-11-25 15:00:00,511880.SH,sell,3061.2538952553477,3171.7442942553475,110.49039899999998,5000,110.49039899999998,False
2015-12-03 15:00:00,511880.SH,sell,-983.2381979373114,-868.2741570573114,110.542347,5200,114.96404088000001,False
2016-01-05 15:00:00,159915.SZ,sell,-58677.872325519864,-58574.021799999864,2.303694,225400,103.85052552,False
2016-02-03 15:00:00,511880.SH,sell,723.2887757313287,832.0941214713287,111.02586299999999,4900,108.80534574,False
2016-02-26 15:00:00,518880.SH,sell,47965.568576640086,48085.06560000009,2.611386,228800,119.49702336,False
2016-04-21 15:00:00,518880.SH,sell,-5207.479723399916,-5093.716999999916,2.5914059999999997,219500,113.7627234,False
2016-04-21 15:00:00,511880.SH,sell,3223.3094819720263,3334.8548249720266,111.545343,5000,111.545343,False
2016-06-27 15:00:00,511880.SH,sell,906.2243629098307,1020.4346982498307,111.970917,5100,114.21033534,False
